sku,name,description,price,discount,quantity,weight,seo title,seo description,user friendly url,type,categories,hidden,shipping required,option:Variant,option:Rarity,option:Artist,variant:Artist,variant sku,variant price,variant discount,variant quantity,variant weight,productId
me3-35-norm,Meg - POR - 35 - Spritzee - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 035/088</p>,3.5,0.0,0.0,0.0,MEG Perfect Order: Spritzee 035/088 - Normal,MEG Perfect Order: Spritzee 035/088 - Normal,meg-por-35-spritzee-common-normal,Common,Mega Evolution Era; Psychic; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684420
me3-35-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684420
me3-36-norm,Meg - POR - 36 - Aromatisse - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Uncommon<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 036/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Aromatisse 036/088 - Normal,MEG Perfect Order: Aromatisse 036/088 - Normal,meg-por-36-aromatisse-uncommon-normal,Uncommon,Mega Evolution Era; Psychic; Pokémon Cards,,1.0,Normal,UNCOMMON,,,,,,,,684421
me3-36-rev,,,,,,,,,,,,,,Reverse Holo,UNCOMMON,Unknown,,,,,,,684421
me3-37-norm,Meg - POR - 37 - Nosepass - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 037/088</p>,2.0,0.0,0.0,0.0,MEG Perfect Order: Nosepass 037/088 - Normal,MEG Perfect Order: Nosepass 037/088 - Normal,meg-por-37-nosepass-common-normal,Common,Mega Evolution Era; Fighting; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684422
me3-37-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684422
me3-38-norm,Meg - POR - 38 - Probopass - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 038/088</p>,1.5,0.0,0.0,0.0,MEG Perfect Order: Probopass 038/088 - Normal,MEG Perfect Order: Probopass 038/088 - Normal,meg-por-38-probopass-common-normal,Common,Mega Evolution Era; Fighting; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684423
me3-38-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684423
me3-39-norm,Meg - POR - 39 - Hippopotas - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 039/088</p>,2.0,0.0,0.0,0.0,MEG Perfect Order: Hippopotas 039/088 - Normal,MEG Perfect Order: Hippopotas 039/088 - Normal,meg-por-39-hippopotas-common-normal,Common,Mega Evolution Era; Fighting; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684425
me3-39-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684425
me3-40-norm,Meg - POR - 40 - Hippowdon - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Uncommon<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 040/088</p>,2.0,0.0,0.0,0.0,MEG Perfect Order: Hippowdon 040/088 - Normal,MEG Perfect Order: Hippowdon 040/088 - Normal,meg-por-40-hippowdon-uncommon-normal,Uncommon,Mega Evolution Era; Fighting; Pokémon Cards,,1.0,Normal,UNCOMMON,,,,,,,,684426
me3-40-rev,,,,,,,,,,,,,,Reverse Holo,UNCOMMON,Unknown,,,,,,,684426
me3-41-rev,Meg - POR - 41 - Landorus - RARE - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Rare<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 041/088</p>,4.5,0.0,0.0,0.0,MEG Perfect Order: Landorus 041/088 - Reverse Holo,MEG Perfect Order: Landorus 041/088 - Reverse Holo,meg-por-41-landorus-rare-reverse-holo,Rare (Rev Holo),Mega Evolution Era; Fighting; Pokémon Cards,,1.0,Reverse Holo,RARE,,,,,,,,684427
me3-41-holo,,,,,,,,,,,,,,Holofoil,RARE,Unknown,,,,,,,684427
me3-42-norm,Meg - POR - 42 - Binacle - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 042/088</p>,3.0,0.0,0.0,0.0,MEG Perfect Order: Binacle 042/088 - Normal,MEG Perfect Order: Binacle 042/088 - Normal,meg-por-42-binacle-common-normal,Common,Mega Evolution Era; Fighting; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684334
me3-42-rev,,,,,,,,,,,,,,Reverse Holo,COMMON,Unknown,,,,,,,684334
me3-43-norm,Meg - POR - 43 - Barbaracle - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Uncommon<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 043/088</p>,2.5,0.0,0.0,0.0,MEG Perfect Order: Barbaracle 043/088 - Normal,MEG Perfect Order: Barbaracle 043/088 - Normal,meg-por-43-barbaracle-uncommon-normal,Uncommon,Mega Evolution Era; Fighting; Pokémon Cards,,1.0,Normal,UNCOMMON,,,,,,,,684335
me3-43-rev,,,,,,,,,,,,,,Reverse Holo,UNCOMMON,Unknown,,,,,,,684335
me3-44-norm,Meg - POR - 44 - Tyrunt - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: Common<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 044/088</p>,3.5,0.0,0.0,0.0,MEG Perfect Order: Tyrunt 044/088 - Normal,MEG Perfect Order: Tyrunt 044/088 - Normal,meg-por-44-tyrunt-common-normal,Common,Mega Evolution Era; Fighting; Pokémon Cards,,1.0,Normal,COMMON,,,,,,,,684358
