db_code,db_name,era,release_date,db_records,tcgcsv_gid,ptcgio_id,ptcgio_name,ptcgio_total,ptcgio_status,enrich_source,notes
PGO,Pokemon GO,SWSH,2022-07-01,150,3064,pgo,Pokémon GO,88,CONFIRMED,ptcgio,
MCD22,McDonalds 2022,SWSH,2022-08-03,0,3150,,,,NO_MAPPING,tcgcsv,
LORTG,Lost Origin TG,SWSH,2022-09-09,30,3172,swsh11tg,Lost Origin Trainer Gallery,30,CONFIRMED,ptcgio,
SWSH11,Lost Origin,SWSH,2022-09-09,231,3118,swsh11,Lost Origin,217,CONFIRMED,ptcgio,
SITTG,Silver Tempest TG,SWSH,2022-11-11,0,17674,swsh12tg,Silver Tempest Trainer Gallery,30,CONFIRMED,ptcgio,
SWSH12,Silver Tempest,SWSH,2022-11-11,225,3170,swsh12,Silver Tempest,215,CONFIRMED,ptcgio,
CRZ,Crown Zenith,SWSH,2023-01-20,274,17688,swsh12pt5,Crown Zenith,160,CONFIRMED,ptcgio,
CRZGG,Crown Zenith GG,SWSH,2023-01-20,70,17689,swsh12pt5gg,Crown Zenith Galarian Gallery,70,CONFIRMED,ptcgio,
CHP,Champion's Path,SWSH,,93,,,,,NO_MAPPING,none,
SHF,Shining Fates,SWSH,,127,2754,swsh45,Shining Fates,73,CONFIRMED,ptcgio,
ST,Silver Tempest Trainer Gallery,SWSH,,30,,swsh12tg,Silver Tempest Trainer Gallery,30,CONFIRMED,ptcgio,
SWSH05,SWSH05: Battle Styles,SWSH,,202,2765,swsh5,Battle Styles,183,CONFIRMED,ptcgio,
TOT22,Trick or Trade 2022,TOT,2022-10-01,0,3179,,,,NO_MAPPING,tcgcsv,
TOT23,Trick or Trade 2023,TOT,2023-10-01,0,23266,,,,NO_MAPPING,tcgcsv,
TOT24,Trick or Trade 2024,TOT,2024-10-01,0,23561,,,,NO_MAPPING,tcgcsv,
TK1,Trick or Trade BOOster Bundle,TOT,,30,,,,,NO_MAPPING,none,
TK2,Trick or Trade BOOster Bundle 2023,TOT,,30,,,,,NO_MAPPING,none,
TK24,Trick or Trade BOOster Bundle 2024,TOT,,30,,,,,NO_MAPPING,none,
BS,Base,WotC,1999-01-09,188,604,base1,Base,102,CONFIRMED,ptcgio,
PR-WB,Wizards Black Star Promos,WotC,1999-01-09,0,1418,,,,NO_MAPPING,tcgcsv,
B2,Base Set 2,WotC,2000-02-24,0,,,,,NO_MAPPING,none,
TR,Team Rocket,WotC,2000-04-24,148,1373,base5,Team Rocket,83,CONFIRMED,ptcgio,
G1,Gym Heroes,WotC,2000-08-14,245,1441,gym1,Gym Heroes,132,CONFIRMED,ptcgio,
G2,Gym Challenge,WotC,2000-10-16,244,1440,gym2,Gym Challenge,132,CONFIRMED,ptcgio,
SI1,Southern Islands,WotC,2001-07-31,19,648,si1,Southern Islands,18,CONFIRMED,ptcgio,
BP,Best of Game,WotC,2002-12-01,0,,,,,NO_MAPPING,none,
PR-NP,Nintendo Black Star Promos,WotC,2003-10-01,0,,,,,NO_MAPPING,none,
POP1,POP Series 1,WotC,2004-07-01,0,,,,,NO_MAPPING,none,
RU1,Pokémon Rumble,WotC,2009-12-02,0,,,,,NO_MAPPING,none,
